seller,stock,date,time,change
CatDog,"1,025,355",2024-01-12,18:20:57,0
CatDog,"1,025,355",2024-01-12,12:46:43,0
CatDog,"1,025,355",2024-01-12,13:18:32,0
CatDog,"1,025,355",2024-01-12,13:32:26,0
CatDog,"1,024,655",2024-01-12,20:29:27,700
CatDog,"1,024,655",2024-01-12,20:47:28,0
CatDog,"1,024,655",2024-01-12,21:13:54,0
CatDog,"1,024,655",2024-01-12,21:27:19,0
CatDog,"1,024,655",2024-01-12,21:47:10,0
CatDog,"1,024,655",2024-01-12,22:15:38,0
CatDog,"1,024,655",2024-01-12,22:29:19,0
CatDog,"1,024,455",2024-01-12,22:47:24,200
CatDog,"1,024,455",2024-01-12,23:15:56,0
CatDog,"1,024,455",2024-01-12,23:27:47,0
CatDog,"1,024,455",2024-01-12,23:47:14,0
CatDog,"1,021,955",2024-01-12,19:05:59,2500
CatDog,"1,021,955",2024-01-13,01:13:30,0
CatDog,"1,021,955",2024-01-13,02:05:22,0
CatDog,"1,021,955",2024-01-13,02:37:49,0
CatDog,"1,021,955",2024-01-13,02:49:51,0
CatDog,"1,021,955",2024-01-13,03:17:12,0
CatDog,"1,021,955",2024-01-13,03:28:51,0
CatDog,"1,021,955",2024-01-13,03:47:19,0
CatDog,"1,021,955",2024-01-13,04:20:12,0
CatDog,"1,021,955",2024-01-13,04:33:57,0
CatDog,"1,021,955",2024-01-13,04:47:27,0
CatDog,"1,021,955",2024-01-13,05:15:56,0
CatDog,"1,021,955",2024-01-13,05:29:49,0
CatDog,"1,021,955",2024-01-13,05:47:15,0
CatDog,"1,021,955",2024-01-13,06:20:17,0
CatDog,"1,021,955",2024-01-13,06:33:05,0
CatDog,"1,021,955",2024-01-13,06:47:27,0
CatDog,"1,021,955",2024-01-13,07:14:35,0
CatDog,"1,021,955",2024-01-13,07:27:18,0
CatDog,"1,021,955",2024-01-13,07:47:13,0
CatDog,"1,021,955",2024-01-13,08:19:51,0
CatDog,"1,021,955",2024-01-13,08:31:44,0
CatDog,"1,021,955",2024-01-13,08:47:24,0
CatDog,"1,021,955",2024-01-13,09:15:18,0
CatDog,"1,021,955",2024-01-13,09:27:12,0
CatDog,"1,021,955",2024-01-13,09:47:27,0
CatDog,"1,021,955",2024-01-13,10:16:50,0
CatDog,"1,021,955",2024-01-13,10:31:34,0
CatDog,"1,021,955",2024-01-13,10:47:18,0
CatDog,"1,021,955",2024-01-13,11:13:03,0
CatDog,"1,021,955",2024-01-13,11:27:14,0
CatDog,"1,021,955",2024-01-13,11:47:20,0
CatDog,"1,021,955",2024-01-13,12:29:43,0
CatDog,"1,021,955",2024-01-13,12:54:51,0
CatDog,"1,021,955",2024-01-13,13:17:45,0
CatDog,"1,021,955",2024-01-13,13:29:33,0
CatDog,"1,021,955",2024-01-13,13:47:24,0
CatDog,"1,021,955",2024-01-13,14:14:24,0
CatDog,"1,021,955",2024-01-13,14:28:35,0
CatDog,"1,021,955",2024-01-13,14:47:16,0
CatDog,"1,021,955",2024-01-13,15:15:49,0
CatDog,"1,021,955",2024-01-13,15:27:32,0
CatDog,"1,021,955",2024-01-13,15:47:20,0
CatDog,"1,021,955",2024-01-13,16:19:55,0
CatDog,"1,021,955",2024-01-13,16:36:43,0
CatDog,"1,021,955",2024-01-13,16:48:23,0
CatDog,"1,021,955",2024-01-13,17:13:54,0
CatDog,"1,021,955",2024-01-13,17:27:49,0
CatDog,"1,021,955",2024-01-13,17:47:11,0
CatDog,"1,021,955",2024-01-13,18:19:30,0
CatDog,"1,021,955",2024-01-13,18:31:41,0
CatDog,"1,021,955",2024-01-13,18:47:10,0
CatDog,"1,021,955",2024-01-13,19:12:56,0
CatDog,"1,021,955",2024-01-13,19:27:27,0
CatDog,"1,021,955",2024-01-13,19:47:11,0
CatDog,"1,021,955",2024-01-13,20:16:57,0
CatDog,"1,021,955",2024-01-13,20:28:27,0
CatDog,"1,021,955",2024-01-13,20:47:20,0
CatDog,"1,021,955",2024-01-13,21:13:44,0
CatDog,"1,021,955",2024-01-13,21:27:33,0
CatDog,"1,021,955",2024-01-13,21:47:20,0
CatDog,"1,021,955",2024-01-13,22:14:52,0
CatDog,"1,021,955",2024-01-13,22:29:43,0
CatDog,"1,021,955",2024-01-13,22:47:24,0
CatDog,"1,021,955",2024-01-13,23:17:23,0
CatDog,"1,021,955",2024-01-13,23:29:02,0
CatDog,"1,021,455",2024-01-13,23:47:14,500
CatDog,"1,020,455",2024-01-14,01:19:33,1000
CatDog,"1,020,455",2024-01-14,02:11:07,0
CatDog,"1,020,455",2024-01-14,02:42:12,0
CatDog,"1,020,455",2024-01-14,03:17:42,0
CatDog,"1,020,455",2024-01-14,03:29:36,0
CatDog,"1,020,455",2024-01-14,03:47:16,0
CatDog,"1,017,955",2024-01-14,04:19:44,2500
CatDog,"1,017,955",2024-01-14,04:33:01,0
CatDog,"1,017,955",2024-01-14,04:47:28,0
CatDog,"1,016,955",2024-01-14,05:15:31,1000
CatDog,"1,016,955",2024-01-14,05:29:23,0
CatDog,"1,016,955",2024-01-14,05:47:21,0
CatDog,"1,018,205",2024-01-14,06:20:55,-1250
CatDog,"1,018,205",2024-01-14,06:47:25,0
CatDog,"1,015,205",2024-01-14,07:14:41,3000
CatDog,"1,017,205",2024-01-14,07:27:15,-2000
CatDog,"1,017,205",2024-01-14,07:47:11,0
CatDog,"1,017,205",2024-01-14,08:19:28,0
CatDog,"1,017,205",2024-01-14,08:31:33,0
CatDog,"1,017,205",2024-01-14,08:47:17,0
CatDog,"1,017,205",2024-01-14,09:15:27,0
CatDog,"1,017,205",2024-01-14,09:27:18,0
CatDog,"1,017,205",2024-01-14,09:47:27,0
CatDog,"1,017,205",2024-01-14,10:16:49,0
CatDog,"1,017,205",2024-01-14,10:31:18,0
CatDog,"1,017,205",2024-01-14,10:47:22,0
CatDog,"1,017,205",2024-01-14,11:13:17,0
CatDog,"1,017,205",2024-01-14,11:27:35,0
CatDog,"1,017,205",2024-01-14,11:47:16,0
CatDog,"1,017,205",2024-01-14,12:29:15,0
CatDog,"1,017,205",2024-01-14,12:54:45,0
CatDog,"1,017,205",2024-01-14,13:18:10,0
CatDog,"1,017,205",2024-01-14,13:30:02,0
CatDog,"1,017,205",2024-01-14,13:47:18,0
CatDog,"1,017,205",2024-01-14,14:14:05,0
CatDog,"1,017,205",2024-01-14,14:28:36,0
CatDog,"1,017,205",2024-01-14,14:47:29,0
CatDog,"1,017,205",2024-01-14,15:15:46,0
CatDog,"1,017,205",2024-01-14,15:27:43,0
CatDog,"1,017,205",2024-01-14,15:47:21,0
CatDog,"1,017,205",2024-01-14,16:20:17,0
CatDog,"1,017,205",2024-01-14,16:35:27,0
CatDog,"1,017,205",2024-01-14,16:47:21,0
CatDog,"1,016,205",2024-01-14,17:13:51,1000
CatDog,"1,016,205",2024-01-14,17:28:02,0
CatDog,"1,016,205",2024-01-14,17:47:35,0
CatDog,"1,016,205",2024-01-14,18:19:32,0
CatDog,"1,016,205",2024-01-14,18:31:57,0
CatDog,"1,016,205",2024-01-14,18:47:44,0
CatDog,"1,016,205",2024-01-14,19:12:48,0
CatDog,"1,016,205",2024-01-14,19:27:14,0
CatDog,"1,016,205",2024-01-14,19:47:23,0
CatDog,"1,016,205",2024-01-14,20:17:09,0
CatDog,"1,016,205",2024-01-14,20:28:46,0
CatDog,"1,016,205",2024-01-14,20:47:12,0
CatDog,"1,016,205",2024-01-14,21:14:24,0
CatDog,"1,016,205",2024-01-14,21:27:17,0
CatDog,"1,016,205",2024-01-14,21:47:24,0
CatDog,"1,016,205",2024-01-14,22:15:09,0
CatDog,"1,016,205",2024-01-14,22:29:53,0
CatDog,"1,016,205",2024-01-14,22:47:33,0
CatDog,"1,016,205",2024-01-14,23:17:29,0
CatDog,"1,016,205",2024-01-14,23:29:05,0
CatDog,"1,016,205",2024-01-14,23:47:23,0
CatDog,"1,016,205",2024-01-15,01:16:37,0
CatDog,"1,015,205",2024-01-15,02:09:38,1000
CatDog,"1,015,205",2024-01-15,02:41:55,0
