seller,stock,date,time,change
VegoStore,"1,315,020",2023-12-23,00:10:14,0
VegoStore,"1,315,020",2023-12-23,00:11:45,0
VegoStore,"1,315,020",2023-12-23,06:20:11,0
VegoStore,"1,315,020",2023-12-23,06:32:35,0
VegoStore,"1,315,020",2023-12-23,06:47:21,0
VegoStore,"1,315,020",2023-12-23,07:14:03,0
VegoStore,"1,315,020",2023-12-23,07:27:06,0
VegoStore,"1,314,820",2023-12-23,07:47:30,200
VegoStore,"1,314,820",2023-12-23,08:19:10,0
VegoStore,"1,313,820",2023-12-23,08:31:42,1000
VegoStore,"1,313,820",2023-12-23,09:14:20,0
VegoStore,"1,315,020",2023-12-23,09:27:18,-1200
VegoStore,"1,315,020",2023-12-23,09:47:14,0
VegoStore,"1,315,020",2023-12-23,10:16:21,0
VegoStore,"1,315,020",2023-12-23,10:30:54,0
VegoStore,"1,315,020",2023-12-23,10:47:11,0
VegoStore,"1,315,020",2023-12-23,11:12:48,0
VegoStore,"1,315,020",2023-12-23,11:27:19,0
VegoStore,"1,315,020",2023-12-23,11:47:26,0
VegoStore,"1,315,020",2023-12-23,12:27:55,0
VegoStore,"1,315,020",2023-12-23,12:53:29,0
VegoStore,"1,315,020",2023-12-23,13:17:20,0
VegoStore,"1,315,020",2023-12-23,13:29:08,0
VegoStore,"1,315,020",2023-12-23,13:47:20,0
VegoStore,"1,315,020",2023-12-23,14:13:48,0
VegoStore,"1,315,020",2023-12-23,14:27:46,0
VegoStore,"1,315,020",2023-12-23,14:47:28,0
VegoStore,"1,315,020",2023-12-23,15:14:57,0
VegoStore,"1,315,020",2023-12-23,15:27:26,0
VegoStore,"1,315,020",2023-12-23,15:47:37,0
VegoStore,"1,312,020",2023-12-23,16:19:17,3000
VegoStore,"1,312,020",2023-12-23,16:34:11,0
VegoStore,"1,312,020",2023-12-23,16:47:19,0
VegoStore,"1,312,020",2023-12-23,17:13:50,0
VegoStore,"1,312,020",2023-12-23,17:28:53,0
VegoStore,"1,312,020",2023-12-23,17:47:22,0
VegoStore,"1,315,020",2023-12-23,18:19:13,-3000
VegoStore,"1,315,020",2023-12-23,18:31:18,0
VegoStore,"1,315,020",2023-12-23,18:47:28,0
VegoStore,"1,315,020",2023-12-23,19:12:12,0
VegoStore,"1,315,020",2023-12-23,19:27:17,0
VegoStore,"1,315,020",2023-12-23,19:47:21,0
VegoStore,"1,315,020",2023-12-23,20:16:01,0
VegoStore,"1,315,020",2023-12-23,20:27:46,0
VegoStore,"1,315,020",2023-12-23,20:47:22,0
VegoStore,"1,315,020",2023-12-23,21:13:30,0
VegoStore,"1,315,020",2023-12-23,21:27:19,0
VegoStore,"1,315,020",2023-12-23,21:47:19,0
VegoStore,"1,315,020",2023-12-23,22:14:57,0
VegoStore,"1,315,020",2023-12-23,22:28:50,0
VegoStore,"1,315,020",2023-12-23,22:47:19,0
VegoStore,"1,315,020",2023-12-23,23:15:46,0
VegoStore,"1,315,020",2023-12-23,23:27:37,0
VegoStore,"1,315,020",2023-12-23,23:47:25,0
VegoStore,"1,315,020",2023-12-24,01:16:09,0
VegoStore,"1,314,370",2023-12-24,02:06:11,650
VegoStore,"1,314,370",2023-12-24,02:36:54,0
VegoStore,"1,314,370",2023-12-24,02:48:42,0
VegoStore,"1,314,370",2023-12-24,03:16:45,0
VegoStore,"1,314,370",2023-12-24,03:28:29,0
VegoStore,"1,314,370",2023-12-24,03:47:21,0
VegoStore,"1,314,370",2023-12-24,04:19:15,0
VegoStore,"1,314,370",2023-12-24,04:32:20,0
VegoStore,"1,314,370",2023-12-24,04:47:07,0
VegoStore,"1,314,370",2023-12-24,05:14:46,0
VegoStore,"1,314,370",2023-12-24,05:28:34,0
VegoStore,"1,314,370",2023-12-24,05:47:10,0
VegoStore,"1,312,370",2023-12-24,06:20:02,2000
VegoStore,"1,312,370",2023-12-24,06:32:07,0
VegoStore,"1,312,370",2023-12-24,06:47:25,0
VegoStore,"1,312,370",2023-12-24,07:13:53,0
VegoStore,"1,312,370",2023-12-24,07:27:21,0
VegoStore,"1,312,370",2023-12-24,07:47:06,0
VegoStore,"1,312,370",2023-12-24,08:18:50,0
VegoStore,"1,312,370",2023-12-24,08:30:37,0
VegoStore,"1,312,370",2023-12-24,08:47:20,0
VegoStore,"1,312,370",2023-12-24,09:15:38,0
VegoStore,"1,312,370",2023-12-24,09:27:18,0
VegoStore,"1,312,370",2023-12-24,09:47:29,0
VegoStore,"1,312,370",2023-12-24,10:15:51,0
VegoStore,"1,312,370",2023-12-24,10:30:08,0
VegoStore,"1,312,370",2023-12-24,10:47:14,0
VegoStore,"1,312,370",2023-12-24,11:12:16,0
VegoStore,"1,312,370",2023-12-24,11:27:13,0
VegoStore,"1,312,370",2023-12-24,11:47:31,0
VegoStore,"1,312,370",2023-12-24,12:28:10,0
VegoStore,"1,312,370",2023-12-24,12:53:47,0
VegoStore,"1,312,370",2023-12-24,13:17:10,0
VegoStore,"1,312,370",2023-12-24,13:29:06,0
VegoStore,"1,312,370",2023-12-24,13:47:25,0
VegoStore,"1,312,370",2023-12-24,14:13:33,0
VegoStore,"1,312,370",2023-12-24,14:27:44,0
VegoStore,"1,312,370",2023-12-24,14:47:11,0
VegoStore,"1,312,370",2023-12-24,15:15:08,0
VegoStore,"1,312,370",2023-12-24,15:27:21,0
VegoStore,"1,312,370",2023-12-24,15:47:26,0
VegoStore,"1,312,370",2023-12-24,16:19:23,0
VegoStore,"1,312,370",2023-12-24,16:34:16,0
VegoStore,"1,312,370",2023-12-24,16:47:27,0
VegoStore,"1,312,370",2023-12-24,17:13:18,0
VegoStore,"1,312,370",2023-12-24,17:27:13,0
VegoStore,"1,312,370",2023-12-24,17:47:11,0
VegoStore,"1,309,620",2023-12-24,18:18:59,2750
VegoStore,"1,309,620",2023-12-24,18:30:54,0
VegoStore,"1,309,620",2023-12-24,18:47:13,0
VegoStore,"1,309,620",2023-12-24,19:12:21,0
VegoStore,"1,309,620",2023-12-24,19:27:15,0
VegoStore,"1,309,620",2023-12-24,19:47:18,0
VegoStore,"1,309,620",2023-12-24,20:16:15,0
VegoStore,"1,309,620",2023-12-24,20:28:02,0
VegoStore,"1,309,620",2023-12-24,20:47:32,0
VegoStore,"1,309,620",2023-12-24,21:13:21,0
VegoStore,"1,309,620",2023-12-24,21:27:07,0
VegoStore,"1,309,620",2023-12-24,21:47:12,0
VegoStore,"1,309,620",2023-12-24,22:14:30,0
VegoStore,"1,309,620",2023-12-24,22:28:52,0
VegoStore,"1,309,620",2023-12-24,22:47:19,0
VegoStore,"1,309,620",2023-12-24,23:15:49,0
VegoStore,"1,309,620",2023-12-24,23:27:21,0
VegoStore,"1,309,620",2023-12-24,23:47:16,0
VegoStore,"1,309,620",2023-12-25,01:13:20,0
VegoStore,"1,309,620",2023-12-25,02:04:52,0
VegoStore,"1,309,620",2023-12-25,02:37:12,0
VegoStore,"1,309,620",2023-12-25,02:49:04,0
VegoStore,"1,309,620",2023-12-25,03:17:09,0
VegoStore,"1,309,620",2023-12-25,03:28:57,0
VegoStore,"1,309,620",2023-12-25,03:47:16,0
VegoStore,"1,309,620",2023-12-25,04:20:02,0
VegoStore,"1,309,620",2023-12-25,04:33:48,0
VegoStore,"1,309,620",2023-12-25,04:47:15,0
VegoStore,"1,309,620",2023-12-25,05:16:06,0
VegoStore,"1,309,620",2023-12-25,05:29:58,0
VegoStore,"1,309,620",2023-12-25,05:47:13,0
VegoStore,"1,309,620",2023-12-25,06:21:43,0
VegoStore,"1,309,620",2023-12-25,06:47:12,0
